dataset,indicator,category,subcategory,value,unit,source,source_url
readiness_snapshot,Use AI at work,Adoption,,68,percent,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
readiness_snapshot,Received formal AI training,Preparation,,35,percent,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
readiness_snapshot,Want more formal training,Preparation,,66,percent,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
readiness_snapshot,Not confident using AI,Risk,,54,percent,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
readiness_snapshot,Concerned about rules/data,Risk,,72,percent,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
worker_concerns,Breaching data or regulatory rules,Concern,,72,percent,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
worker_concerns,Losing critical thinking skills,Concern,,60,percent,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
worker_concerns,AI used to demand more productivity,Concern,,58,percent,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
worker_concerns,Job losses in their sector,Concern,,54,percent,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
training_topics,Basic AI interaction,Desired training,,32,percent,EY Australian AI Workforce Blueprint 2025,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-au/services/ai/documents/ey-au-ai-workforce-blueprint-2025-final.pdf
